name,seconds,librosa,tempo_cnn,wav_bytes,mp3_bytes,comp_ratio
nerve_library_ph_combi_128_standard_Gb_2-03,7.5,127.6596,64.0,1984544,121043,16.3953636311063
nerve_library_dj_scratch_125,1.92,125.0,0.0,508136,31599,16.080762049431943
175_drum_beat,6.86,139.5349,87.0,1814444,110594,16.406351158290686
127_guitar_type_sounds,11.34,171.4286,128.0,3000236,182483,16.441180822323176
110_bass_type_sound,10.91,146.3415,110.0,2886590,175377,16.45934187493229
nerve_library_drum_loop_127,3.78,127.6596,64.0,1012362,61330,16.506799282569705
nerve_library_ph_bs_128_hector_Gm,3.75,171.4286,128.0,1004538,60857,16.50653170547349
136_drum_beat,3.53,181.8182,137.0,933932,57513,16.238624311025333
nerve_library_bassloop_130_brokenskope_B,1.85,171.4286,0.0,488594,30346,16.100771106570882
nerve_library_distorted_drum_loop_135,3.56,136.3636,67.0,940844,57931,16.240769190934042
